ProductID,ProductName,Category,StockLevel,UnitsSold_12M,TurnoverRatio,TurnoverCategory,StockValue
P0309,SmallStyle Dresses Yellow 5T,Girls Clothing,18,69,3.83,Regular,154.26
P0310,MiniMode Dresses Yellow 5T,Girls Clothing,17,59,3.47,Regular,451.69
P0311,SmallStyle Tops Purple 5T,Girls Clothing,6,70,11.67,Fast Moving,64.62
P0312,PetitMode Tops Black 8,Girls Clothing,11,39,3.55,Regular,171.49
P0313,JuniorWear Tops Red 14,Girls Clothing,14,50,3.57,Regular,281.12
P0314,TinyTrends Tops Beige 7,Girls Clothing,12,50,4.17,Regular,225.96
P0315,TinyTrends Tops Pink 3T,Girls Clothing,19,42,2.21,Regular,152.76
P0316,YouthStyle Tops Blue 12,Girls Clothing,16,38,2.38,Regular,406.88
P0317,KidsStyle Tops Black 10,Girls Clothing,11,54,4.91,Regular,206.69
P0318,MiniMode Tops Black 12,Girls Clothing,6,38,6.33,Fast Moving,59.88
P0319,BabyChic Tops Blue 5T,Girls Clothing,10,53,5.3,Fast Moving,176.6
P0320,LittleFashion Tops Red 7,Girls Clothing,18,49,2.72,Regular,234.9
P0321,KiddoFashion Tops Navy 4T,Girls Clothing,6,44,7.33,Fast Moving,47.22
P0322,MiniMode Tops Pink 2T,Girls Clothing,11,39,3.55,Regular,128.81
P0323,TinyTrends Tops Yellow 12,Girls Clothing,6,34,5.67,Fast Moving,69.3
P0324,MiniMode Tops Black 3T,Girls Clothing,7,37,5.29,Fast Moving,149.66
P0325,TinyTrends Tops Purple 10,Girls Clothing,18,42,2.33,Regular,439.92
P0326,SmallStyle Tops Green 2T,Girls Clothing,16,45,2.81,Regular,156.8
P0327,KidsStyle Tops Navy 6,Girls Clothing,12,41,3.42,Regular,259.32
P0328,LittleFashion Tops Gray 14,Girls Clothing,5,53,10.6,Fast Moving,75.7
P0329,TinyTrends Tops Orange 12,Girls Clothing,14,33,2.36,Regular,186.06
P0330,KidsStyle Tops Black 12,Girls Clothing,5,34,6.8,Fast Moving,109.35
P0331,BabyChic Tops Yellow 2T,Girls Clothing,9,47,5.22,Fast Moving,157.32
P0332,BabyChic Tops Green 7,Girls Clothing,2,39,19.5,Fast Moving,38.1
P0333,BabyChic Tops Pink 3T,Girls Clothing,15,45,3.0,Regular,135.3
P0334,LittleFashion Tops Gray 12,Girls Clothing,14,50,3.57,Regular,164.92
P0335,TinyTrends Tops Beige 4T,Girls Clothing,9,51,5.67,Fast Moving,99.63
P0336,MiniMode Tops Red 2T,Girls Clothing,5,42,8.4,Fast Moving,64.1
P0337,JuniorWear Tops Orange 2T,Girls Clothing,15,58,3.87,Regular,144.45
P0338,KidsStyle Tops Gray 10,Girls Clothing,16,45,2.81,Regular,300.32
P0339,BabyChic Tops Yellow 7,Girls Clothing,8,50,6.25,Fast Moving,79.44
P0340,KiddoFashion Tops Black 8,Girls Clothing,13,46,3.54,Regular,405.34
P0341,BabyChic Tops Orange 10,Girls Clothing,19,51,2.68,Regular,442.7
P0342,YouthStyle Tops Navy 8,Girls Clothing,8,60,7.5,Fast Moving,96.16
P0343,BabyChic Tops Blue 12,Girls Clothing,10,43,4.3,Regular,278.4
P0344,KiddoFashion Tops Navy 6,Girls Clothing,19,34,1.79,Slow Moving,353.97
P0345,BabyChic Tops Purple 4T,Girls Clothing,9,34,3.78,Regular,197.01
P0346,JuniorWear Tops Gray 14,Girls Clothing,17,50,2.94,Regular,244.12
P0347,BabyChic Tops Orange 3T,Girls Clothing,11,45,4.09,Regular,188.87
P0348,LittleFashion Tops Navy 4T,Girls Clothing,9,34,3.78,Regular,95.49
P0349,TinyTrends Tops Green 2T,Girls Clothing,6,37,6.17,Fast Moving,85.56
P0350,YouthStyle Tops Navy 7,Girls Clothing,19,45,2.37,Regular,209.95
P0351,BabyChic Tops White 4T,Girls Clothing,18,41,2.28,Regular,299.16
P0352,PetitMode Tops White 14,Girls Clothing,11,41,3.73,Regular,147.18
P0353,TinyTrends Tops Red 6,Girls Clothing,16,40,2.5,Regular,167.84
P0354,YouthStyle Tops Orange 10,Girls Clothing,15,49,3.27,Regular,239.1
P0355,MiniMode Tops Navy 6,Girls Clothing,18,55,3.06,Regular,250.38
P0356,LittleFashion Tops Blue 5T,Girls Clothing,9,45,5.0,Fast Moving,220.41
P0357,BabyChic Tops Gray 10,Girls Clothing,11,49,4.45,Regular,190.63
P0358,JuniorWear Tops Yellow 12,Girls Clothing,18,43,2.39,Regular,307.08
P0359,PetitMode Tops Green 4T,Girls Clothing,13,47,3.62,Regular,372.84
P0360,KiddoFashion Tops Red 4T,Girls Clothing,6,34,5.67,Fast Moving,67.08
P0361,KiddoFashion Tops Orange 14,Girls Clothing,5,50,10.0,Fast Moving,125.35
P0362,JuniorWear Tops Black 3T,Girls Clothing,13,48,3.69,Regular,128.83
P0363,YouthStyle Tops Navy 12,Girls Clothing,7,50,7.14,Fast Moving,153.23
P0364,KiddoFashion Tops Purple 7,Girls Clothing,12,47,3.92,Regular,140.64
P0365,PetitMode Tops Gray 7,Girls Clothing,18,49,2.72,Regular,197.1
P0366,PetitMode Tops Red 4T,Girls Clothing,17,59,3.47,Regular,209.78
P0367,JuniorWear Tops Pink 12,Girls Clothing,9,64,7.11,Fast Moving,197.91
P0368,PetitMode Tops Yellow 5T,Girls Clothing,0,52,0.0,Very Slow/Dead Stock,0.0
P0369,PetitMode Tops Yellow 6,Girls Clothing,16,56,3.5,Regular,281.28
P0370,PetitMode Tops Blue 6,Girls Clothing,8,46,5.75,Fast Moving,132.0
P0371,SmallStyle Skirts Pink 4T,Girls Clothing,6,52,8.67,Fast Moving,99.54
P0372,BabyChic Skirts Navy 14,Girls Clothing,16,42,2.62,Regular,377.44
P0373,SmallStyle Skirts Yellow 3T,Girls Clothing,6,37,6.17,Fast Moving,85.26
P0374,SmallStyle Skirts Gray 14,Girls Clothing,18,47,2.61,Regular,290.52
P0375,JuniorWear Skirts Purple 12,Girls Clothing,6,45,7.5,Fast Moving,167.22
P0376,TinyTrends Skirts Beige 6,Girls Clothing,30,54,1.8,Slow Moving,348.9
P0377,KiddoFashion Skirts Purple 10,Girls Clothing,15,41,2.73,Regular,300.9
P0378,BabyChic Skirts Beige 14,Girls Clothing,17,53,3.12,Regular,199.07
P0379,BabyChic Skirts Orange 8,Girls Clothing,15,60,4.0,Regular,316.35
P0380,KiddoFashion Skirts Blue 7,Girls Clothing,6,29,4.83,Regular,173.1
P0381,TinyTrends Skirts Red 5T,Girls Clothing,18,46,2.56,Regular,188.46
P0382,MiniMode Skirts Pink 14,Girls Clothing,13,44,3.38,Regular,182.13
P0383,MiniMode Skirts Pink 14,Girls Clothing,20,46,2.3,Regular,175.0
P0384,JuniorWear Skirts Purple 10,Girls Clothing,17,42,2.47,Regular,449.82
P0385,KiddoFashion Skirts Green 8,Girls Clothing,2,60,30.0,Fast Moving,32.88
P0386,KidsStyle Skirts Yellow 7,Girls Clothing,18,62,3.44,Regular,201.78
P0387,PetitMode Skirts Red 10,Girls Clothing,9,32,3.56,Regular,92.16
P0388,JuniorWear Skirts Beige 8,Girls Clothing,16,65,4.06,Regular,354.4
P0389,YouthStyle Skirts Red 7,Girls Clothing,13,39,3.0,Regular,175.5
P0390,PetitMode Skirts Yellow 5T,Girls Clothing,13,46,3.54,Regular,310.96
P0391,PetitMode Skirts Yellow 12,Girls Clothing,16,42,2.62,Regular,363.52
P0392,LittleFashion Skirts Blue 14,Girls Clothing,18,45,2.5,Regular,226.44
P0393,BabyChic Skirts Pink 7,Girls Clothing,15,33,2.2,Regular,195.75
P0394,PetitMode Skirts Red 12,Girls Clothing,8,44,5.5,Fast Moving,156.48
P0395,KiddoFashion Skirts Orange 4T,Girls Clothing,7,37,5.29,Fast Moving,138.74
P0396,LittleFashion Skirts White 14,Girls Clothing,9,42,4.67,Regular,102.33
P0397,YouthStyle Skirts Navy 7,Girls Clothing,16,29,1.81,Slow Moving,305.44
P0398,PetitMode Skirts Orange 14,Girls Clothing,13,47,3.62,Regular,118.69
P0399,KiddoFashion Skirts Red 14,Girls Clothing,10,54,5.4,Fast Moving,279.6
P0400,SmallStyle Skirts Yellow 3T,Girls Clothing,20,27,1.35,Slow Moving,504.4
P0401,KiddoFashion Skirts Yellow 2T,Girls Clothing,2,59,29.5,Fast Moving,40.94
P0402,KidsStyle Skirts Navy 14,Girls Clothing,19,37,1.95,Slow Moving,391.21
P0403,YouthStyle Skirts Pink 12,Girls Clothing,15,67,4.47,Regular,268.8
P0404,SmallStyle Skirts Beige 5T,Girls Clothing,22,53,2.41,Regular,678.48
P0405,BabyChic Skirts Black 2T,Girls Clothing,6,63,10.5,Fast Moving,92.52
P0406,PetitMode Skirts Navy 5T,Girls Clothing,9,32,3.56,Regular,281.88
P0407,PetitMode Skirts Green 2T,Girls Clothing,14,47,3.36,Regular,164.64
P0408,YouthStyle Skirts White 10,Girls Clothing,19,42,2.21,Regular,499.51
P0409,PetitMode Skirts White 12,Girls Clothing,5,48,9.6,Fast Moving,98.55
P0410,KiddoFashion Skirts Green 6,Girls Clothing,17,52,3.06,Regular,146.2
P0411,MiniMode Skirts Yellow 12,Girls Clothing,7,50,7.14,Fast Moving,148.61
P0412,BabyChic Skirts Purple 5T,Girls Clothing,8,34,4.25,Regular,115.6
P0413,TinyTrends Skirts Navy 6,Girls Clothing,20,42,2.1,Regular,429.2
P0414,BabyChic Skirts Pink 8,Girls Clothing,5,40,8.0,Fast Moving,72.4
P0415,BabyChic Skirts Purple 6,Girls Clothing,16,51,3.19,Regular,368.64
P0416,MiniMode Skirts Orange 10,Girls Clothing,5,49,9.8,Fast Moving,62.1
P0417,TinyTrends Skirts Navy 6,Girls Clothing,3,41,13.67,Fast Moving,29.49
P0418,KidsStyle Skirts Gray 5T,Girls Clothing,19,45,2.37,Regular,340.29
P0419,KidsStyle Skirts Blue 5T,Girls Clothing,17,40,2.35,Regular,442.34
P0420,LittleFashion Skirts Red 10,Girls Clothing,19,55,2.89,Regular,395.58
P0421,KiddoFashion Skirts Gray 8,Girls Clothing,19,36,1.89,Slow Moving,162.07
P0422,KidsStyle Skirts Blue 7,Girls Clothing,8,49,6.12,Fast Moving,105.12
P0423,KidsStyle Skirts Pink 5T,Girls Clothing,10,66,6.6,Fast Moving,107.3
P0424,KiddoFashion Skirts Pink 2T,Girls Clothing,8,51,6.38,Fast Moving,88.32
P0425,JuniorWear Skirts Navy 2T,Girls Clothing,3,50,16.67,Fast Moving,56.76
P0426,KiddoFashion Skirts Gray 7,Girls Clothing,16,36,2.25,Regular,159.04
P0427,PetitMode Skirts Purple 10,Girls Clothing,6,39,6.5,Fast Moving,82.08
P0428,LittleFashion Skirts Beige 3T,Girls Clothing,6,33,5.5,Fast Moving,66.66
P0429,KidsStyle Skirts Beige 6,Girls Clothing,13,50,3.85,Regular,111.41
P0430,LittleFashion Skirts Navy 14,Girls Clothing,18,29,1.61,Slow Moving,311.22
P0431,PetitMode Leggings White 8,Girls Clothing,13,45,3.46,Regular,309.92
P0432,LittleFashion Leggings Purple 3T,Girls Clothing,15,49,3.27,Regular,278.55
P0433,YouthStyle Leggings Green 2T,Girls Clothing,8,37,4.62,Regular,132.56
P0434,SmallStyle Leggings Beige 7,Girls Clothing,8,45,5.62,Fast Moving,80.96
P0435,MiniMode Leggings Red 6,Girls Clothing,16,66,4.12,Regular,468.48
P0436,LittleFashion Leggings Black 10,Girls Clothing,1,41,41.0,Fast Moving,14.68
P0437,JuniorWear Leggings White 6,Girls Clothing,7,45,6.43,Fast Moving,145.88
P0438,KiddoFashion Leggings Pink 5T,Girls Clothing,7,36,5.14,Fast Moving,53.06
P0439,PetitMode Leggings Purple 7,Girls Clothing,36,62,1.72,Slow Moving,862.2
P0440,SmallStyle Leggings Blue 5T,Girls Clothing,7,51,7.29,Fast Moving,54.39
P0441,TinyTrends Leggings Navy 12,Girls Clothing,17,62,3.65,Regular,226.95
P0442,MiniMode Leggings Navy 12,Girls Clothing,8,53,6.62,Fast Moving,58.8
P0443,PetitMode Leggings Purple 4T,Girls Clothing,3,40,13.33,Fast Moving,67.23
P0444,KiddoFashion Leggings Blue 5T,Girls Clothing,5,49,9.8,Fast Moving,99.85
P0445,KiddoFashion Leggings Pink 10,Girls Clothing,7,51,7.29,Fast Moving,64.61
P0446,KidsStyle Leggings Orange 10,Girls Clothing,16,53,3.31,Regular,406.08
P0447,YouthStyle Leggings Yellow 6,Girls Clothing,6,30,5.0,Fast Moving,147.42
P0448,TinyTrends Leggings Red 5T,Girls Clothing,5,43,8.6,Fast Moving,100.3
P0449,KidsStyle Leggings Blue 3T,Girls Clothing,20,48,2.4,Regular,312.4
P0450,YouthStyle Leggings Pink 2T,Girls Clothing,18,49,2.72,Regular,129.24
P0451,YouthStyle Leggings Purple 8,Girls Clothing,16,50,3.12,Regular,169.44
P0452,PetitMode Leggings Pink 8,Girls Clothing,7,49,7.0,Fast Moving,83.72
P0453,PetitMode Leggings Black 3T,Girls Clothing,20,49,2.45,Regular,372.0
P0454,KidsStyle Leggings Yellow 5T,Girls Clothing,10,31,3.1,Regular,239.1
P0455,PetitMode Leggings Black 12,Girls Clothing,11,56,5.09,Fast Moving,141.57
P0456,BabyChic Leggings Pink 5T,Girls Clothing,5,56,11.2,Fast Moving,94.65
P0457,YouthStyle Leggings Navy 3T,Girls Clothing,20,43,2.15,Regular,408.8
P0458,TinyTrends Leggings Blue 5T,Girls Clothing,20,44,2.2,Regular,382.2
P0459,KidsStyle Leggings Green 10,Girls Clothing,8,47,5.88,Fast Moving,126.88
P0460,MiniMode Leggings Orange 8,Girls Clothing,50,55,1.1,Slow Moving,1072.5
P0461,JuniorWear Leggings Green 4T,Girls Clothing,12,38,3.17,Regular,312.24
P0462,SmallStyle Leggings Gray 7,Girls Clothing,20,47,2.35,Regular,578.8
P0463,LittleFashion Leggings Gray 5T,Girls Clothing,11,44,4.0,Regular,159.61
P0464,JuniorWear Leggings Red 8,Girls Clothing,5,34,6.8,Fast Moving,68.4
P0465,PetitMode Leggings Purple 4T,Girls Clothing,19,43,2.26,Regular,374.49
P0466,BabyChic Leggings Beige 8,Girls Clothing,20,35,1.75,Slow Moving,236.6
P0467,YouthStyle Leggings Pink 4T,Girls Clothing,11,36,3.27,Regular,316.36
P0468,MiniMode Leggings Yellow 10,Girls Clothing,16,34,2.12,Regular,171.68
P0469,PetitMode Leggings Black 10,Girls Clothing,16,37,2.31,Regular,147.84
P0470,YouthStyle Leggings Green 12,Girls Clothing,8,57,7.12,Fast Moving,84.56
P0471,KiddoFashion Leggings White 7,Girls Clothing,12,45,3.75,Regular,166.08
P0472,JuniorWear Leggings Black 5T,Girls Clothing,14,51,3.64,Regular,330.26
P0473,TinyTrends Leggings Green 14,Girls Clothing,17,42,2.47,Regular,178.67
P0474,KiddoFashion Leggings Green 12,Girls Clothing,10,55,5.5,Fast Moving,119.8
P0475,MiniMode Leggings Green 6,Girls Clothing,8,46,5.75,Fast Moving,215.68
P0476,SmallStyle Leggings Beige 10,Girls Clothing,6,45,7.5,Fast Moving,128.7
P0477,BabyChic Leggings Yellow 5T,Girls Clothing,11,58,5.27,Fast Moving,142.12
P0478,JuniorWear Leggings Yellow 12,Girls Clothing,0,32,0.0,Very Slow/Dead Stock,0.0
P0479,TinyTrends Leggings Beige 10,Girls Clothing,5,53,10.6,Fast Moving,81.7
P0480,BabyChic Leggings Black 5T,Girls Clothing,8,52,6.5,Fast Moving,97.12
P0481,KidsStyle Leggings Yellow 5T,Girls Clothing,17,41,2.41,Regular,168.3
P0482,JuniorWear Leggings Pink 14,Girls Clothing,19,43,2.26,Regular,239.59
P0483,SmallStyle Leggings Green 5T,Girls Clothing,5,37,7.4,Fast Moving,66.8
P0484,KiddoFashion Leggings Beige 7,Girls Clothing,11,33,3.0,Regular,238.04
P0485,BabyChic Leggings Pink 10,Girls Clothing,16,41,2.56,Regular,314.24
P0486,PetitMode Leggings Gray 10,Girls Clothing,2,48,24.0,Fast Moving,49.08
P0487,KidsStyle Leggings Red 2T,Girls Clothing,20,50,2.5,Regular,427.2
P0488,LittleFashion Leggings Red 5T,Girls Clothing,15,47,3.13,Regular,119.25
P0489,KidsStyle Leggings Navy 10,Girls Clothing,12,41,3.42,Regular,213.12
P0490,KiddoFashion Leggings Red 14,Girls Clothing,19,58,3.05,Regular,357.2
P0491,KidsStyle Jackets Red 12,Girls Clothing,8,29,3.62,Regular,128.4
P0492,KidsStyle Jackets Orange 12,Girls Clothing,13,43,3.31,Regular,115.44
P0493,TinyTrends Jackets Blue 8,Girls Clothing,11,53,4.82,Regular,254.54
P0494,SmallStyle Jackets Orange 5T,Girls Clothing,20,47,2.35,Regular,438.4
P0495,TinyTrends Jackets White 6,Girls Clothing,8,31,3.88,Regular,113.92
P0496,MiniMode Jackets Yellow 14,Girls Clothing,15,43,2.87,Regular,390.6
P0497,YouthStyle Jackets Black 2T,Girls Clothing,5,35,7.0,Fast Moving,69.7
P0498,KidsStyle Jackets Beige 10,Girls Clothing,15,31,2.07,Regular,204.75
P0499,BabyChic Jackets Navy 10,Girls Clothing,14,31,2.21,Regular,340.48
P0500,MiniMode Jackets Green 12,Girls Clothing,17,47,2.76,Regular,465.8
P0501,KidsStyle Jackets Blue 10,Girls Clothing,7,41,5.86,Fast Moving,83.37
P0502,KidsStyle Jackets Pink 12,Girls Clothing,6,41,6.83,Fast Moving,167.7
P0503,SmallStyle Jackets Pink 2T,Girls Clothing,7,46,6.57,Fast Moving,181.58
P0504,LittleFashion Jackets Navy 3T,Girls Clothing,7,48,6.86,Fast Moving,172.55
P0505,BabyChic Jackets Black 8,Girls Clothing,11,45,4.09,Regular,143.88
P0506,BabyChic Jackets Red 3T,Girls Clothing,20,40,2.0,Regular,285.4
P0507,BabyChic Jackets Navy 5T,Girls Clothing,20,41,2.05,Regular,481.0
P0508,BabyChic Jackets Red 14,Girls Clothing,19,32,1.68,Slow Moving,483.55
P0509,MiniMode Jackets White 10,Girls Clothing,20,46,2.3,Regular,237.8
P0510,SmallStyle Jackets Gray 8,Girls Clothing,2,65,32.5,Fast Moving,46.98
P0511,MiniMode Jackets Beige 14,Girls Clothing,6,32,5.33,Fast Moving,127.32
P0512,YouthStyle Jackets Beige 6,Girls Clothing,16,43,2.69,Regular,495.36
P0513,BabyChic Jackets White 4T,Girls Clothing,6,42,7.0,Fast Moving,165.0
P0514,KiddoFashion Jackets White 2T,Girls Clothing,15,41,2.73,Regular,427.95
P0515,TinyTrends Jackets Pink 3T,Girls Clothing,17,36,2.12,Regular,270.98
P0516,PetitMode Jackets Black 12,Girls Clothing,8,43,5.38,Fast Moving,71.12
P0517,PetitMode Jackets Blue 3T,Girls Clothing,10,47,4.7,Regular,113.3
P0518,KidsStyle Jackets Yellow 7,Girls Clothing,19,44,2.32,Regular,190.38
P0519,MiniMode Jackets Navy 3T,Girls Clothing,1,43,43.0,Fast Moving,15.97
P0520,LittleFashion Jackets Yellow 8,Girls Clothing,9,60,6.67,Fast Moving,78.84
P0521,TinyTrends Jackets Pink 10,Girls Clothing,19,57,3.0,Regular,395.2
P0522,KiddoFashion Jackets Blue 8,Girls Clothing,9,60,6.67,Fast Moving,135.81
P0523,SmallStyle Jackets Navy 5T,Girls Clothing,13,46,3.54,Regular,355.68
P0524,JuniorWear Jackets Red 3T,Girls Clothing,6,43,7.17,Fast Moving,66.18
P0525,BabyChic Jackets Purple 14,Girls Clothing,12,60,5.0,Fast Moving,270.84
P0526,JuniorWear Jackets White 14,Girls Clothing,12,32,2.67,Regular,317.52
P0527,LittleFashion Jackets Black 10,Girls Clothing,5,47,9.4,Fast Moving,149.75
P0528,MiniMode Jackets White 10,Girls Clothing,13,41,3.15,Regular,358.8
P0529,TinyTrends Jackets Navy 8,Girls Clothing,12,48,4.0,Regular,279.84
P0530,PetitMode Jackets Red 12,Girls Clothing,11,49,4.45,Regular,204.71
P0531,JuniorWear Jackets Beige 5T,Girls Clothing,10,55,5.5,Fast Moving,298.5
P0532,JuniorWear Jackets Green 10,Girls Clothing,18,31,1.72,Slow Moving,421.92
P0533,YouthStyle Jackets Blue 4T,Girls Clothing,8,43,5.38,Fast Moving,142.88
P0534,YouthStyle Jackets Orange 10,Girls Clothing,7,45,6.43,Fast Moving,80.15
P0535,BabyChic Jackets Beige 12,Girls Clothing,20,60,3.0,Regular,287.8
P0536,TinyTrends Jackets Green 14,Girls Clothing,1,51,51.0,Fast Moving,13.02
P0537,SmallStyle Jackets Red 7,Girls Clothing,17,32,1.88,Slow Moving,128.35
P0538,YouthStyle Jackets Blue 8,Girls Clothing,5,43,8.6,Fast Moving,140.15
P0539,PetitMode Jackets Beige 6,Girls Clothing,19,38,2.0,Regular,318.44
P0540,MiniMode Jackets Purple 14,Girls Clothing,17,55,3.24,Regular,239.02
P0541,PetitMode Jackets Pink 10,Girls Clothing,7,61,8.71,Fast Moving,150.71
P0542,JuniorWear Jackets Black 10,Girls Clothing,11,46,4.18,Regular,202.95
P0543,BabyChic Jackets Yellow 3T,Girls Clothing,5,51,10.2,Fast Moving,137.3
P0544,KiddoFashion Jackets White 5T,Girls Clothing,0,29,0.0,Very Slow/Dead Stock,0.0
P0545,BabyChic Jackets Blue 10,Girls Clothing,18,47,2.61,Regular,476.82
P0546,BabyChic Jackets Gray 3T,Girls Clothing,4,50,12.5,Fast Moving,115.44
P0547,PetitMode Jackets Pink 4T,Girls Clothing,5,46,9.2,Fast Moving,103.55
P0548,YouthStyle Jackets Purple 7,Girls Clothing,19,54,2.84,Regular,219.45
P0549,YouthStyle Jackets Black 4T,Girls Clothing,12,46,3.83,Regular,136.68
P0550,SmallStyle Jackets Black 5T,Girls Clothing,0,49,0.0,Very Slow/Dead Stock,0.0
P0551,JuniorWear Onesies Beige 3-6M,Infants,11,48,4.36,Regular,62.59
P0552,PetitMode Onesies Pink 18-24M,Infants,15,54,3.6,Regular,281.55
P0553,TinyTrends Onesies Yellow 3-6M,Infants,0,47,0.0,Very Slow/Dead Stock,0.0
P0554,SmallStyle Onesies Black 18-24M,Infants,15,43,2.87,Regular,158.1
P0555,BabyChic Onesies White 18-24M,Infants,5,54,10.8,Fast Moving,63.35
P0556,JuniorWear Onesies Navy 18-24M,Infants,11,41,3.73,Regular,159.72
P0557,TinyTrends Onesies Green 3-6M,Infants,8,26,3.25,Regular,59.6
P0558,LittleFashion Onesies Orange 3-6M,Infants,16,38,2.38,Regular,206.24
P0559,SmallStyle Onesies Black 18-24M,Infants,12,42,3.5,Regular,73.08
P0560,LittleFashion Onesies Orange 12-18M,Infants,10,43,4.3,Regular,71.2
P0561,LittleFashion Onesies White 6-12M,Infants,9,32,3.56,Regular,170.91
P0562,BabyChic Onesies Red 18-24M,Infants,19,38,2.0,Regular,339.53
P0563,PetitMode Onesies Orange 3-6M,Infants,12,43,3.58,Regular,164.16
P0564,YouthStyle Onesies Beige 12-18M,Infants,11,29,2.64,Regular,58.19
P0565,TinyTrends Onesies Navy 12-18M,Infants,19,33,1.74,Slow Moving,167.77
P0566,JuniorWear Onesies Green 6-12M,Infants,14,40,2.86,Regular,202.16
P0567,SmallStyle Onesies Beige 3-6M,Infants,5,34,6.8,Fast Moving,24.6
P0568,TinyTrends Onesies Navy 18-24M,Infants,13,31,2.38,Regular,158.6
P0569,PetitMode Onesies Red 18-24M,Infants,20,37,1.85,Slow Moving,324.8
P0570,YouthStyle Onesies Blue 18-24M,Infants,3,39,13.0,Fast Moving,33.93
P0571,KidsStyle Onesies Purple 3-6M,Infants,16,40,2.5,Regular,243.2
P0572,TinyTrends Onesies Green 0-3M,Infants,13,34,2.62,Regular,182.91
P0573,YouthStyle Onesies Pink 6-12M,Infants,10,46,4.6,Regular,88.5
P0574,KidsStyle Onesies Navy 3-6M,Infants,9,38,4.22,Regular,145.89
P0575,PetitMode Onesies Pink 6-12M,Infants,9,51,5.67,Fast Moving,161.73
P0576,JuniorWear Onesies Orange 6-12M,Infants,9,37,4.11,Regular,140.49
P0577,YouthStyle Onesies Red 0-3M,Infants,12,25,2.08,Regular,177.72
P0578,MiniMode Onesies Pink 3-6M,Infants,7,43,6.14,Fast Moving,97.3
P0579,KiddoFashion Onesies Pink 3-6M,Infants,15,47,3.13,Regular,107.25
P0580,YouthStyle Onesies Purple 6-12M,Infants,18,37,2.06,Regular,257.94
P0581,PetitMode Onesies Beige 0-3M,Infants,13,39,3.0,Regular,184.86
P0582,BabyChic Onesies Navy 12-18M,Infants,13,35,2.69,Regular,124.41
P0583,TinyTrends Onesies Orange 12-18M,Infants,13,47,3.62,Regular,91.91
P0584,KiddoFashion Onesies Yellow 12-18M,Infants,8,47,5.88,Fast Moving,128.24
P0585,SmallStyle Onesies Pink 6-12M,Infants,7,43,6.14,Fast Moving,28.21
P0586,KidsStyle Onesies Blue 6-12M,Infants,11,52,4.73,Regular,162.03
P0587,LittleFashion Onesies Purple 0-3M,Infants,8,26,3.25,Regular,98.0
P0588,LittleFashion Onesies Gray 12-18M,Infants,9,36,4.0,Regular,120.06
P0589,BabyChic Onesies Yellow 6-12M,Infants,10,41,4.1,Regular,135.4
P0590,YouthStyle Onesies Gray 3-6M,Infants,17,34,2.0,Regular,257.89
P0591,TinyTrends Sleepwear Red 12-18M,Infants,5,44,8.8,Fast Moving,85.2
P0592,SmallStyle Sleepwear Green 0-3M,Infants,20,52,2.6,Regular,295.8
P0593,KidsStyle Sleepwear Beige 12-18M,Infants,6,53,8.83,Fast Moving,38.16
P0594,KiddoFashion Sleepwear Blue 12-18M,Infants,17,54,3.18,Regular,207.91
P0595,TinyTrends Sleepwear White 0-3M,Infants,11,35,3.18,Regular,98.67
P0596,LittleFashion Sleepwear Gray 3-6M,Infants,5,39,7.8,Fast Moving,26.4
P0597,SmallStyle Sleepwear Red 0-3M,Infants,16,39,2.44,Regular,150.72
P0598,BabyChic Sleepwear Beige 3-6M,Infants,14,42,3.0,Regular,75.18
P0599,SmallStyle Sleepwear Gray 3-6M,Infants,12,39,3.25,Regular,244.92
P0600,LittleFashion Sleepwear Blue 0-3M,Infants,14,33,2.36,Regular,185.64
P0601,BabyChic Sleepwear Pink 6-12M,Infants,14,33,2.36,Regular,180.88
P0602,PetitMode Sleepwear Navy 0-3M,Infants,7,32,4.57,Regular,30.03
P0603,JuniorWear Sleepwear Green 6-12M,Infants,18,26,1.44,Slow Moving,215.64
P0604,YouthStyle Sleepwear Yellow 18-24M,Infants,17,30,1.76,Slow Moving,232.39
P0605,YouthStyle Sleepwear Blue 3-6M,Infants,10,36,3.6,Regular,92.3
P0606,PetitMode Sleepwear Red 18-24M,Infants,12,36,3.0,Regular,121.2
P0607,SmallStyle Sleepwear Black 3-6M,Infants,7,51,7.29,Fast Moving,49.49
P0608,TinyTrends Sleepwear Red 3-6M,Infants,17,57,3.35,Regular,219.47
P0609,MiniMode Sleepwear Red 0-3M,Infants,5,45,9.0,Fast Moving,28.2
P0610,JuniorWear Sleepwear Gray 12-18M,Infants,5,36,7.2,Fast Moving,63.0
P0611,YouthStyle Sleepwear Blue 12-18M,Infants,13,51,3.92,Regular,206.83
P0612,LittleFashion Sleepwear Yellow 18-24M,Infants,0,31,0.0,Very Slow/Dead Stock,0.0
P0613,MiniMode Sleepwear Pink 0-3M,Infants,6,39,6.5,Fast Moving,63.3
P0614,TinyTrends Sleepwear Yellow 12-18M,Infants,6,43,7.17,Fast Moving,55.2
P0615,MiniMode Sleepwear Blue 3-6M,Infants,18,39,2.17,Regular,318.24
P0616,SmallStyle Sleepwear Navy 0-3M,Infants,19,41,2.16,Regular,295.83
P0617,KidsStyle Sleepwear Beige 3-6M,Infants,9,52,5.78,Fast Moving,56.25
P0618,BabyChic Sleepwear Orange 3-6M,Infants,8,36,4.5,Regular,103.52
